epsilon,mean_dice,model,attack
0.0,0.8690001368522644,standard,FGSM
0.01,0.7434558868408203,standard,FGSM
0.03,0.6419442296028137,standard,FGSM
0.05,0.5878326296806335,standard,FGSM
0.1,0.5060374736785889,standard,FGSM
0.2,0.4271129369735718,standard,FGSM
0.0,0.8451910018920898,adversarially_trained,FGSM
0.01,0.8259031772613525,adversarially_trained,FGSM
0.03,0.7939242720603943,adversarially_trained,FGSM
0.05,0.7694558501243591,adversarially_trained,FGSM
0.1,0.7281882166862488,adversarially_trained,FGSM
0.2,0.6808651685714722,adversarially_trained,FGSM
0.0,0.8690001368522644,standard,PGD
0.0,0.8451910018920898,adversarially_trained,PGD
0.01,0.4063167870044708,standard,PGD
0.01,0.8226913809776306,adversarially_trained,PGD
0.03,0.013138504698872566,standard,PGD
0.03,0.762384831905365,adversarially_trained,PGD
0.05,0.0003627027908805758,standard,PGD
0.05,0.6632567644119263,adversarially_trained,PGD
0.1,0.00011111151980003342,standard,PGD
0.1,0.32115766406059265,adversarially_trained,PGD
0.2,7.584318518638611e-05,standard,PGD
0.2,0.03968453034758568,adversarially_trained,PGD
