epsilon,mean_dice,model,attack
0.0,0.867986261844635,standard,FGSM
0.0,0.867986261844635,standard,PGD
0.01,0.7173388004302979,standard,FGSM
0.01,0.26336151361465454,standard,PGD
0.03,0.6032412648200989,standard,FGSM
0.03,0.002472871681675315,standard,PGD
0.05,0.5438398122787476,standard,FGSM
0.05,0.00015688476560171694,standard,PGD
0.1,0.45907875895500183,standard,FGSM
0.1,0.00013688267790712416,standard,PGD
0.2,0.38666099309921265,standard,FGSM
0.2,7.32103071641177e-05,standard,PGD
0.0,0.8429340720176697,fgsm_adversarially_trained,FGSM
0.0,0.8429340720176697,fgsm_adversarially_trained,PGD
0.01,0.8221863508224487,fgsm_adversarially_trained,FGSM
0.01,0.8189060688018799,fgsm_adversarially_trained,PGD
0.03,0.7895280122756958,fgsm_adversarially_trained,FGSM
0.03,0.7589353322982788,fgsm_adversarially_trained,PGD
0.05,0.7649513483047485,fgsm_adversarially_trained,FGSM
0.05,0.6627148985862732,fgsm_adversarially_trained,PGD
0.1,0.724787712097168,fgsm_adversarially_trained,FGSM
0.1,0.3316103219985962,fgsm_adversarially_trained,PGD
0.2,0.6767319440841675,fgsm_adversarially_trained,FGSM
0.2,0.045349717140197754,fgsm_adversarially_trained,PGD
0.0,0.8395583629608154,pgd_adversarially_trained,FGSM
0.0,0.8395583629608154,pgd_adversarially_trained,PGD
0.01,0.8272704482078552,pgd_adversarially_trained,FGSM
0.01,0.8262201547622681,pgd_adversarially_trained,PGD
0.03,0.8036789298057556,pgd_adversarially_trained,FGSM
0.03,0.7933517098426819,pgd_adversarially_trained,PGD
0.05,0.7817528247833252,pgd_adversarially_trained,FGSM
0.05,0.7424618601799011,pgd_adversarially_trained,PGD
0.1,0.7374477386474609,pgd_adversarially_trained,FGSM
0.1,0.4920402765274048,pgd_adversarially_trained,PGD
0.2,0.6819333434104919,pgd_adversarially_trained,FGSM
0.2,0.10113250464200974,pgd_adversarially_trained,PGD
